name,pretrained_model,datetime,val_loss,test_acc,test_corrects,test_total,train_acc,train_corrects,train_total,val_acc,val_corrects,val_total,n_sampling,img_size,batch_size,epochs,patience,dense_layers,dense_layer_size,dropout
backside_21Dec2021-2057_93.28%.h5,mobilenetv2,21Dec2021-2057,0.152195826,0.932778478,2914,3124,0.951666667,1142,1200,0.960893855,172,179,300,224,8,2,5,1,16,0.2
backside_21Dec2021-2103_91.33%.h5,mobilenetv2,21Dec2021-2103,0.170856237,0.913252234,2853,3124,0.969166667,1163,1200,0.972067039,174,179,300,224,8,7,5,1,16,0.2
backside_21Dec2021-2108_91.61%.h5,mobilenetv2,21Dec2021-2108,0.546836495,0.916133165,2862,3124,0.951666667,1142,1200,0.944134078,169,179,300,224,8,1,5,1,16,0.2
backside_21Dec2021-2111_92.29%.h5,mobilenetv2,21Dec2021-2111,0.078991823,0.922855318,2883,3124,0.981666667,1178,1200,0.972067039,174,179,300,224,8,14,5,1,16,0.2
backside_21Dec2021-2122_93.09%.h5,mobilenetv2,21Dec2021-2122,0.206408665,0.930857897,2908,3124,0.965833333,1159,1200,0.932960894,167,179,300,224,8,3,5,1,16,0.2
backside_22Dec2021-1736_95.04%.h5,mobilenetv2,22Dec2021-1736,0.238079205,0.95038414,2969,3124,0.99,1188,1200,0.966480447,173,179,300,224,8,6,5,1,32,0.2
backside_22Dec2021-1753_97.15%.h5,mobilenetv2,22Dec2021-1753,0.117532648,0.971510887,3035,3124,0.978333333,1174,1200,0.972067039,174,179,300,224,8,11,5,1,16,0.2
backside_22Dec2021-2330_95.71%.h5,mobilenetv2,22Dec2021-2330,0.345050424,0.957106292,2990,3124,0.975,1170,1200,0.955307263,171,179,300,224,8,4,5,1,16,0.2
backside_23Dec2021-0201_93.12%.h5,mobilenetv2,23Dec2021-0201,0.146110669,0.931177974,2909,3124,0.996666667,1196,1200,0.977653631,175,179,300,224,8,8,5,1,16,0.2
backside_23Dec2021-1436_81.24%.h5,mobilenetv2,23Dec2021-1436,0.270799339,0.812419951,2538,3124,0.914166667,1097,1200,0.893854749,160,179,300,224,8,3,5,1,16,0.2
backside_24Dec2021-1447_85.69%.h5,mobilenetv2,24Dec2021-1447,0.09702132642269135,0.856914222240448,2677,3124,0.9708333333333333,1165,1200,0.9720670391061452,174,179,300,224,8,5,5,1,16,0.2
